1:11:07 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWE120423,Avatar,900 | Status: Success | Server Response: Movie Slots Added
1:13:09 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:13:09 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:19:24 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:19:37 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:19:42 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:19:42 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:20:00 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:20:00 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:20:27 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:22:02 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA150423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:24:39 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:25:03 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:25:08 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:25:08 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:25:33 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:25:43 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
